anand,anand,and@g.com,p#A#S#S#W#O#R#D
sowmya,sowmyahere,ands@gmail.com,p#A#S#S#W#0#R#D#5
a,a,a@.com,p#@#S#S#W#0#R#D
ananda,ananda,ananda@xyz.com,p#@#S#S#W#O#R#D#1
anand,nand,bjd@.com,p#A#S#S#W#0#R#D
ravi,ravi12,ravi@gmail.com,h#E#L#L#O#1#2#3
padma,padmaanand,p@gmail.com,s#R#I#R#A#N#G#A#M#1
fname,test,aa@aa.com.,7#7#7#7#a#a#&#&
Sowmya,sowmya1,sowmya@gmail.com,p#A#S#S#W#0#R#D
Sowmya,sowmya12,sowmya@gmail.com,p#A#S#S#W#0#R#D
rhfef,gg4g4,gorgfbh@fgge.com,*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#1#o#7#G
Sowmya,sowmya123,sand@m.com,p#@#S#S#W#0#R#D
